region,date,p50_pcwd,p25_pcwd,p75_pcwd,.group
Bern,2021-01-01,0.0746704825745215,0.014540206357295785,0.09510758963967134,1
Bern,2021-01-02,0.09379326506357684,0.010827469645544997,0.1157125905271652,1
Bern,2021-01-03,0,0,0.02012710778070666,1
Bern,2021-01-04,0,0,0,1
Bern,2021-01-05,0,0,0.022119815565389216,1
Bern,2021-01-06,0,0,0,1
Bern,2021-01-07,0,0,0,1
Bern,2021-01-08,0,0,0,1
Bern,2021-01-09,0,0,0.040441421038446446,1
Bern,2021-01-10,0,0,0,1
Bern,2021-01-11,0,0,0,1
Bern,2021-01-12,0.16038617827257784,0.14262547991650343,0.18737400200929646,1
Bern,2021-01-13,0.38713797661313176,0.25268021472361396,0.4194821620412036,1
Bern,2021-01-14,0.447068590168777,0.28634827553406894,0.5191753544081723,1
Bern,2021-01-15,0.4771831759588666,0.26681604306919005,0.521094620036767,1
Bern,2021-01-16,0.3068195957765043,0.1310561723334041,0.31828577536429437,1
Bern,2021-01-17,0.3481631680371366,0.17618069950921972,0.3745025588916042,1
Bern,2021-01-18,0.057315030916026216,0.009308413939064342,0.12588373477468026,1
Bern,2021-01-19,0,0,0,1
Bern,2021-01-20,0,0,0,1
Bern,2021-01-21,0.2315896034556894,0.045758226833795906,0.2604531916985079,1
Bern,2021-01-22,0.31468222689907566,0.06351486629387759,0.3579332486694805,1
Bern,2021-01-23,0.1798409445248101,0.0334858910299288,0.21617028985590575,1
Bern,2021-01-24,0,0,0,1
Bern,2021-01-25,0,0,0,1
Bern,2021-01-26,0,0,0,1
Bern,2021-01-27,0.10644962853305504,0.08732228584048353,0.1455352649578249,1
Bern,2021-01-28,0.23582358288108424,0.04377692860109718,0.27889174754598534,1
Bern,2021-01-29,0.3353515255295312,0.074240003484028,0.41955278624995673,1
Bern,2021-01-30,0.33263701761539716,0.05996336854390803,0.44666278513508745,1
Bern,2021-01-31,0.17045993286187405,0.016513293688020098,0.28123575095636283,1
Bern,2021-02-01,0.20945623891744558,0.019780917814366097,0.34134568794935194,1
Bern,2021-02-02,0.14659901618087656,0,0.34947953691263567,1
Bern,2021-02-03,0,0,0.15245953326842215,1
Bern,2021-02-04,0,0,0.02156069868505952,1
Bern,2021-02-05,0,0,0.044872612599841,1
Bern,2021-02-06,0,0,0.013818009588657037,1
Bern,2021-02-07,0,0,0,1
Bern,2021-02-08,0,0,0.12464044769799378,1
Bern,2021-02-09,0.06386399688517243,0.0014059194902477838,0.2289116433658982,1
Bern,2021-02-10,0.20129591980574643,0.1387123680388666,0.40366932475246686,1
Bern,2021-02-11,0.14896893124427127,0,0.47860592495119947,1
Bern,2021-02-12,0.24793743117749562,0.06137457502595613,0.6181148359175044,1
Bern,2021-02-13,0.20310390714420895,0,0.6300628317453354,1
Bern,2021-02-14,0.23812894537797488,0,0.8040870199944053,1
Bern,2021-02-15,0.4958483421075213,0.3273737429306594,1.2526336236634634,1
